INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR
;problem_50_500_3_2_5.txt;4472;4742;0
;problem_50_500_3_3_5.txt;6293;6643;0
;problem_50_500_3_4_5.txt;8607;9007;0
;problem_50_500_3_5_5.txt;11601;12041;0
;problem_50_500_4_1_5.txt;1996;1996;0
;problem_50_500_4_2_5.txt;4594;4594;0
;problem_50_500_4_3_5.txt;6455;6455;1
;problem_50_500_4_4_5.txt;8423;8423;0
;problem_50_500_4_5_5.txt;11825;11825;0
;problem_50_1000_1_1_5.txt;3763;15224;0
;problem_50_1000_1_2_5.txt;8173;16812;0
;problem_50_1000_1_3_5.txt;12983;20189;0
;problem_50_1000_1_4_5.txt;14318;22030;0
;problem_50_1000_1_5_5.txt;22789;20394;0
;problem_50_1000_2_1_5.txt;3469;4316;0
;problem_50_1000_2_2_5.txt;8259;9391;0
;problem_50_1000_2_3_5.txt;12763;14187;0
;problem_50_1000_2_4_5.txt;14417;15872;1
;problem_50_1000_2_5_5.txt;22698;22946;0
;problem_50_1000_3_1_5.txt;4153;4343;0
;problem_50_1000_3_2_5.txt;9216;9466;0
;problem_50_1000_3_3_5.txt;12931;13271;0
;problem_50_1000_3_4_5.txt;14950;15360;0
;problem_50_1000_3_5_5.txt;20179;20629;0
;problem_50_1000_4_1_5.txt;3810;3810;0
;problem_50_1000_4_2_5.txt;9202;9202;0
;problem_50_1000_4_3_5.txt;12920;12920;0
;problem_50_1000_4_4_5.txt;14863;14863;0
;problem_50_1000_4_5_5.txt;20329;20329;0
;problem_100_50_1_1_5.txt;471;1223;0
;problem_100_50_1_2_5.txt;744;1648;0
;problem_100_50_1_3_5.txt;1207;2066;0
;problem_100_50_1_4_5.txt;1642;2319;0
;problem_100_50_1_5_5.txt;2182;2415;0
;problem_100_50_2_1_5.txt;445;534;0
;problem_100_50_2_2_5.txt;747;894;0
;problem_100_50_2_3_5.txt;1233;1333;0
;problem_100_50_2_4_5.txt;1656;1788;0
;problem_100_50_2_5_5.txt;2176;2270;0
;problem_100_50_3_1_5.txt;477;837;0
;problem_100_50_3_2_5.txt;802;1392;0
;problem_100_50_3_3_5.txt;1268;1958;0
;problem_100_50_3_4_5.txt;1708;2518;0
;problem_100_50_3_5_5.txt;1992;2902;0
;problem_100_50_4_1_5.txt;441;441;0
;problem_100_50_4_2_5.txt;801;801;0
;problem_100_50_4_3_5.txt;1264;1264;1
;problem_100_50_4_4_5.txt;1735;1735;0
;problem_100_50_4_5_5.txt;1988;1988;0
;problem_100_100_1_1_5.txt;941;2299;0
;problem_100_100_1_2_5.txt;1632;3377;0
;problem_100_100_1_3_5.txt;2685;4068;0
;problem_100_100_1_4_5.txt;3187;4474;0
;problem_100_100_1_5_5.txt;4322;4905;0
;problem_100_100_2_1_5.txt;881;1067;0
;problem_100_100_2_2_5.txt;1642;1923;0
;problem_100_100_2_3_5.txt;2717;2970;0
;problem_100_100_2_4_5.txt;3197;3469;0
;problem_100_100_2_5_5.txt;4319;4568;1
;problem_100_100_3_1_5.txt;853;1253;0
;problem_100_100_3_2_5.txt;1717;2267;0
;problem_100_100_3_3_5.txt;2524;3234;0
